id,type,genres,average_rating,num_votes,is_adult
338,tvSpecial,Comedy,2.9,9378,False
339,movie,"Biography,Documentary,History",6.8,30,False
340,movie,"Adventure,Animation,Comedy",6.9,49278,False
341,movie,"Adventure,Animation,Family",6.5,23910,False
342,video,"Adventure,Animation,Family",6.0,1038,False
343,movie,"Comedy,Drama",5.6,4114,False
344,movie,Drama,7.3,1004,False
345,movie,"Comedy,Crime",5.8,4700,False
346,movie,Drama,2.8,1006,False
347,tvSeries,Drama,6.8,16,False
348,movie,"Drama,Mystery",5.8,3246,False
349,movie,"Drama,Thriller,War",5.5,1862,False
350,tvMovie,"Comedy,Drama",3.6,91,False
351,movie,Comedy,3.1,212,False
352,movie,"Biography,Comedy,Music",6.6,533,False
353,movie,Thriller,5.6,208,False
354,movie,"Comedy,Drama,Romance",6.3,916,False
355,movie,"Drama,Thriller",6.3,65,False
356,movie,Drama,6.9,2532,False
357,movie,"Action,Comedy,Romance",8.2,49658,False
358,movie,"Crime,Drama,Music",8.2,74523,False
359,movie,"Horror,Mystery,Thriller",7.6,2940,False
360,movie,Documentary,6.8,133,False
361,movie,"Documentary,Sport",6.4,2622,False
362,movie,"Crime,Drama",6.1,4375,False
363,movie,"Action,Comedy,Thriller",8.0,5029,False
364,tvSeries,Fantasy,5.0,30,False
365,tvSeries,"Action,Animation,Comedy",7.7,12103,False
366,movie,"Drama,Romance",5.6,22694,False
367,movie,"Action,Thriller",6.4,81585,False
368,movie,"Adventure,Animation,Family",7.1,1027,False
369,movie,"Action,Mystery,Thriller",6.7,276388,False
370,movie,Comedy,6.3,204497,False
371,tvEpisode,"Comedy,Family",7.0,16,False
372,tvEpisode,"Crime,Drama",8.5,6,False
373,movie,"Comedy,Drama",7.0,2699,False
374,movie,Drama,8.6,853,False
375,short,"Music,Short",7.7,9684,False
376,movie,"Action,Fantasy,Sci-Fi",6.5,3781,False
377,movie,"Action,Crime,Thriller",5.1,4276,False
378,tvSpecial,"Comedy,Documentary",5.8,612,False
379,movie,"Comedy,Drama",8.0,10345,False
380,movie,"Drama,Thriller",6.5,1766,False
381,movie,"Adventure,Family,Mystery",5.6,685,False
382,tvSeries,"Adventure,Animation,Drama",8.2,10069,False
383,movie,"Crime,Sci-Fi,Thriller",6.1,38447,False
384,movie,Drama,5.2,467,False
385,tvSeries,"Adventure,Drama,Mystery",5.0,25085,False
386,tvSeries,"Comedy,Fantasy,Romance",7.9,1356,False
387,movie,"Action,Adventure,Comedy",7.0,320218,False
388,tvSpecial,Comedy,7.2,2960,False
389,video,Comedy,7.8,4529,False
390,movie,"Mystery,Thriller",5.2,610,False
391,movie,"Action,Adventure,Horror",2.7,277,False
392,tvMovie,"Biography,Documentary,Sport",6.5,954,False
393,movie,"Drama,Romance,Thriller",6.6,887,False
394,movie,Documentary,6.7,332,False
395,movie,"Action,Crime,Drama",7.4,4309,False
396,movie,Documentary,7.3,1649,False
397,movie,"Horror,Mystery,Sci-Fi",5.2,54123,False
398,movie,"Drama,Fantasy,Horror",6.3,44845,False
399,movie,"Adventure,Animation,Comedy",7.3,7019,False
400,movie,Drama,7.5,18552,False
401,movie,Drama,6.5,176,False
402,movie,"Adventure,Animation,Comedy",4.7,1482,False
403,movie,"Comedy,Drama,Romance",5.2,985,False
404,tvSeries,"Drama,Horror",5.6,3827,False
405,tvMovie,Comedy,7.9,1093,False
406,movie,"Documentary,Music",6.4,1892,False
407,movie,"Action,Sci-Fi,Thriller",6.4,35701,False
408,tvSeries,"Action,Drama,Fantasy",8.4,2806,False
409,movie,"Comedy,Romance",5.7,50788,False
410,short,"Adventure,Drama,Fantasy",6.7,16,False
411,movie,"Adventure,Animation,Comedy",7.1,53278,False
412,movie,"Crime,Drama,Mystery",8.2,24326,False
413,movie,Drama,7.2,618,False
414,movie,"Horror,Mystery,Thriller",6.2,79996,False
415,movie,"Comedy,Drama,Romance",7.7,278349,False
416,movie,"Drama,Romance",4.9,522,False
417,movie,Drama,7.5,190,False
418,tvSeries,"Comedy,Fantasy,Romance",8.4,1442,False
419,tvSeries,Documentary,6.6,234,False
420,movie,"Comedy,Documentary,Drama",6.7,645,False
421,movie,"Action,Comedy",5.1,1747,False
422,movie,"Horror,Mystery,Sci-Fi",5.3,4590,False
423,movie,"Action,Crime,Thriller",3.2,246,False
424,movie,"Documentary,Sport",6.5,372,False
425,movie,"Drama,Sci-Fi,Thriller",5.5,3236,False
426,short,Short,9.3,12,False
427,movie,"Crime,Documentary,Sport",7.6,7972,False
428,movie,"Drama,Mystery,Romance",6.7,8195,False
429,movie,"Horror,Thriller",4.7,22930,False
430,short,"Comedy,Romance,Short",6.5,6,False
431,short,"Comedy,Short",5.2,5,False
432,tvSeries,"Action,Adventure,Animation",8.9,219987,False
433,movie,Documentary,8.0,571,False
434,movie,"Crime,Documentary",7.2,6034,False
435,tvSeries,Comedy,8.0,4721,False
436,movie,Drama,6.5,1757,False
437,tvShort,"Drama,Short",5.0,11,False
438,tvSeries,"Documentary,Reality-TV",7.0,274,False
439,movie,"Action,Adventure,Comedy",6.2,197067,False
440,tvEpisode,Comedy,6.1,14,False
441,movie,"Adventure,Comedy",7.0,223383,False
442,movie,"Action,Adventure,Comedy",6.6,218299,False
443,movie,"Crime,Drama",6.0,352,False
444,movie,"Action,Drama,Sci-Fi",6.1,54783,False
445,tvSeries,"Drama,Romance",8.0,385,False
446,tvEpisode,"Comedy,Drama",6.0,5,False
447,movie,"Action,Crime,Drama",5.4,42987,False
448,movie,"Drama,Romance",7.1,396,False
449,movie,"Action,Crime",6.5,12042,False
450,short,"Action,Drama,Short",8.6,9,False
451,movie,"Action,Adventure,Sci-Fi",8.4,863572,False
452,tvEpisode,"Comedy,Talk-Show",5.7,6,False
453,tvEpisode,"Comedy,Talk-Show",8.1,37,False
454,tvEpisode,"Documentary,Short",6.4,7,False
455,movie,"Biography,Documentary,Music",7.6,6387,False
456,movie,"Horror,Mystery,Sci-Fi",4.8,7495,False
457,movie,"Action,Crime,Thriller",5.0,2650,False
458,tvSeries,Game-Show,6.0,638,False
459,tvSeries,"Drama,Romance,Sci-Fi",6.6,21206,False
460,movie,Documentary,7.4,181,False
461,movie,Drama,5.6,130,False
462,movie,"Biography,Drama,Sport",5.8,5265,False
463,tvSpecial,Comedy,7.3,3689,False
464,tvSpecial,Comedy,7.5,4407,False
465,tvMiniSeries,"Action,Animation,Crime",7.2,3988,False
466,movie,Drama,2.1,357,False
467,movie,"Action,Thriller",4.9,4380,False
468,movie,"Action,Romance,Thriller",5.2,7675,False
469,movie,"Crime,Drama,Thriller",6.6,4732,False
470,movie,Drama,7.4,291356,False
471,movie,"Drama,Horror,Thriller",5.4,200,False
472,movie,"Comedy,Drama",7.2,518,False
473,movie,Comedy,6.6,55,False
474,tvMovie,Documentary,7.1,74,False
475,movie,"Comedy,Family",5.2,528,False
476,tvSeries,Drama,8.5,78,False
477,tvEpisode,Reality-TV,7.1,8,False
478,movie,Comedy,5.3,1052,False
479,movie,"Comedy,Fantasy,Music",6.5,418,False
480,tvSeries,Reality-TV,6.3,522,False
481,movie,"Adventure,Drama,Horror",6.0,19312,False
482,short,"Comedy,Horror,Sci-Fi",5.8,5,False
483,video,"Action,Crime,Drama",4.9,1811,False
484,movie,"Drama,Fantasy,Mystery",6.0,11699,False
485,tvEpisode,"Action,Adventure,Animation",8.4,129,False
486,tvEpisode,Documentary,8.0,5,False
487,tvEpisode,"Comedy,History",8.2,44,False
488,tvEpisode,"Comedy,Romance",7.4,233,False
489,tvEpisode,"Crime,Drama",8.8,240,False
490,tvSeries,"Biography,Crime,Documentary",8.0,2449,False
491,movie,"Action,Comedy,Crime",6.9,242912,False
492,movie,"Action,Comedy,Crime",6.6,233844,False
493,movie,"Action,Crime,Drama",6.5,6584,False
494,movie,"Comedy,Crime,Drama",7.6,18206,False
495,video,Comedy,6.3,4365,False
496,movie,"Mystery,Thriller",5.6,3892,False
497,movie,"Documentary,Music",6.4,158,False
498,movie,Comedy,7.3,4425,False
499,tvSeries,Drama,6.6,15,False
500,movie,"Crime,Drama,Mystery",7.8,23008,False
501,movie,Western,5.5,1886,False
502,tvSeries,"Action,Adventure,Animation",5.3,157,False
503,tvMiniSeries,"Crime,Drama",8.0,238,False
504,movie,"Adventure,Animation,Drama",7.1,40312,False
